流速	流速，是流体的流动速度。
品客	品客（Pringles，旧译「翘胡子洋芋片」）是源自美国的马铃薯零食品牌，原属宝碱旗下，后售予家乐氏。
阉伶	阉伶（castrato），也叫去势男高音、阉人歌手等，是16世纪至18世纪期间在欧洲的一种独特的艺人。
蛇行	蛇行，指的是蛇类生物在进行陆地移动时的主要方式。蛇类生物没有足部，而是利用腹鳞及肌肉的缩放产生移动力。
定窑	定窑是宋代五大名窑之一，在宋代属定州境内，故名“定窑”。窑址位于现在的河北省曲阳县涧滋村、燕山村一带。
加锡	加锡，是台湾彰化县大村乡的一个传统地域名称，位于该乡西北部。相较于今日行政区，其范围大致与加锡村相近。
尤厝	尤厝，是台湾彰化县大城乡的一个传统地域名称，位于该乡东部。相较于今日行政区，其范围大致为潭墘村北半部。
土围	土围，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡北部。相较于今日行政区，其范围大致为美城村东半部。
同意	同意（consent；Zustimmung）是指一个人自愿接受与自身有关，由其他人提出的提议或是意愿。
烷基	烷基，在有机化学中，是烷烃分子中去掉一个氢原子剩余的部分。它们是一系列同系物，其通式为CnH2n+1。
废黜	废黜，又称伊霍之事，通常是指罢免君主或王室成员。 君主本是国家元首或政权领袖，掌握国家的最高政治权力。
芝士	芝士，又名乳酪、干酪，音译芝士、起司、起士、吉士，是多种乳制芝士的通称，有各式各样的味道、口感和形式。
苄膦	苄膦是一种有机化合物，化学式为C7H9P。 合成 苄膦可由P-苄基膦酸二乙酯和氢化铝锂的还原反应制得。
骠国	骠国（ပျူ မြို့ပြ နိုင်ငံများ）是7至9世纪缅甸骠人（pyū）所建立的城邦国家。
伊斯	伊斯（Kêr-Is，Ys），是一个在神话中出现的城市，建立在布列塔尼半岛杜阿尔纳纳湾，后来被海洋吞噬。
童猛	童猛，小说《水浒传》中人物，和童威是兄弟，浔阳江边人，善于驾船伏水，和“混江龙”李俊一起贩卖私盐为生。
伊登	伊登（Idun）是北欧神话中的一位女神，她是青春与春天的化身，同时负责掌管能让诸神保持青春的黄金苹果。
山猿	山猿（Oreopithecus bambolii）是一种中新世的史前灵长目，其化石发现于义大利及东非。
万村	万村（Oingt，wɛ̃）是法国罗讷省的一个旧市镇，属于索恩河畔自由城区。万村是法国最美丽的村庄之一。
曲街	曲街（Cooke Street）是香港九龙九龙城区红磡的一条街道，连接漆咸道北、机利士南路及老龙坑街。
针枪	针枪（needle rifle）是一种具有针状撞针的枪支，该撞针可以穿过纸弹壳在子弹底座上击打冲击帽。
位面	位面（PLANES）是奇幻桌面角色扮演游戏龙与地下城的异度风景战役设定中的一个名词，指一个独立的宇宙。
寝袜	寝袜，又称睡眠袜、美腿机能袜、塑腿袜，是女性睡觉时穿著的长筒袜，利用绷紧腿部以期望达成腿部修长的效果。
芙拉	芙拉（Furla）是义大利一个设计产品品牌，于1927年由芙拉聂托家族创办，目前仍由芙拉聂托家族拥有。
铅球	铅球是田径运动场上的其中一项运动，是属于投掷项目，它对增强体质特为有效，当中更能发展上下肢力量的功能。
史姓	史姓是汉族姓氏之一，在《百家姓》中排名第63位。 起源 据《史记》论证，史氏起源至今已经3000多年。
长右	长右是中国传说的异兽，外形和猕猴相似,但它长著四只耳朵。声音像是人在呻吟,它出现的地方就会发生大水灾。
梅当	梅当（Médan，medɑ̃）是法国法兰西岛大区伊夫林省的一个市镇，位于塞纳河畔，属于圣日耳曼昂莱区。
郑绥	郑绥是越南后黎朝时期的一位将领。 郑绥是后黎朝开国功臣郑克复的后裔，封永兴侯，是郑惟㦃、郑惟岱的姪辈。
普尔	普尔（Poole，l）是位于英国多塞特郡沿海的大型市镇，位于多尔切斯特以东mi，与东部的伯恩茅斯毗邻。
寻剑	寻剑（Swordquest）是一个未完成的电子游戏系列作品。这个游戏由雅达利发行，是一次比赛的一部分。
刘台	刘台（Liu刘），字衡仲，号是闲（一作是闲），四川重庆府巴县人，明朝政治人物。弘治壬子解元，丙辰进士。
音分	音分（英语：cent）是一个用于度量音程的对数标度单位。在十二平均律中，将一个八度音程分为12个半音。
鸡糕	鸡糕，又称酥鸡，是一种以鸡肉为主要原料制作而成是食物。鸡糕起源于江苏涟水地区，是淮扬菜的重要食材之一。
隆熙	隆熙（1907年8月2日－1910年8月29日）是大韩帝国皇帝纯宗之年号，1907年8月2日改元隆熙。
延文	延文（1356年4月29日至1361年5月4日）是日本北朝的年号之一。这个时代的北朝天皇是后光严天皇。
戊基	戊基（pentyl）是具有化学式 -C5H11的烷基官能团（取代基），有五个碳原子，是戊烷的取代形式。
泳棚	泳棚是为方便游泳人士而设的设施，通常建于海边。泳棚一般为以竹搭成的棚屋，提供男女更衣室、浴室及储物柜。
巨鹭	巨鹭（学名：Ardea goliath）是最大的鹭科鸟类，主要分布于撒哈拉以南非洲，有些在西亚及南亚。
足交	足交是指用脚对生殖器进行踩、挤、压、夹、揉及摩擦等方式来刺激伴侣性欲的一种人类性行为，以此诱发性高潮。
童星	童星是对从事演员、歌手、模特儿及配音员等演艺工作的儿童之称呼。一般来说，是指未成年或18岁以下的艺人。
法偿	法偿是指具有法定支付能力的货币。 有限法偿 有限法偿主要针对辅币而言，是指货币具有有限的法定支付能力。
腹膜	腹膜是存在于高等脊椎动物腹腔中的一层黏膜，主要由间皮细胞构成，借由结缔组织的支持所形成的一层膜状组织。
好溪	好溪，位于中华人民共和国浙江省中南部，是瓯江大溪段左岸支流。原名恶溪，因滩多流急，舟楫常遭覆没，故名。
华胥	华胥是传说中位于今华阳一带的上古文明，传说华胥氏诞生于此，华胥氏出生后人又称为华阳国，位于有熊国附近。
烧杯	烧杯是一种常见的实验室玻璃器皿，在绝大多数实验中都会使用到，材质为玻璃或者耐热玻璃，也有用塑料制成的。
仑坪	仑坪，是台湾桃园市观音区的一个传统地域名称，位于该区东南部。相较于今日行政区，其范围大致与仑坪里相近。
粉鸽	粉鸽（学名：Nesoenas mayeri），又名粉红鸽，是毛里裘斯特有的一种鸽子，现时已经十分罕有。
碲吩	碲吩是噻吩和硒吩的碲类似物。 合成 第一种被制备的碲吩，四苯基碲吩，由Braye等人于1961年制备。
包装	包装是指物件外部的保护层和装饰，不同的物件有不同的包装方式和材质，一些容器如盒子等也是专作为包装之用。
雾罕	雾罕，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡南部。相较于今日行政区，其范围大致为新南村东南部。
寒姓	寒姓是汉字姓氏之一，寒姓主要分布于中国的云南省、河南省、黑龙江省、北京市等地。另外在台湾也有寒姓人士。
照镜	照镜，是台湾桃园市大园区的一个传统地域名称，位于该区南部。相较于今日行政区，其范围大致为田心里的南部。
顶角	顶角，是新北市金山区的一个地名，位于该区东南部，范围大致为三界里、六股里、两湖里、重和里磺溪以南地区。
通岛	通岛（高棉文：កោះតាង）是柬埔寨在泰国湾中的一个岛屿，面积43 km，岛上居民为柬埔寨军队的驻兵。
非乐	非乐，是墨子的一个主张。墨子认为作乐会加重人民的负担，同时耽误人的工作，因此作乐会影响国家的政治经济。
落龙	落龙（Lolong，又译洛龙），是2011年9月在菲律宾南阿古桑省的布纳万溪捕获为一头巨型雄性河口鳄。
时辰	时辰是古代计时单位，中国古时将一昼夜按十二地支的顺序分为十二个时段，每段称作一个时辰，合现今两个小时。
和丰	和丰（Sungai Siput）是马来西亚霹雳州江沙县江沙市下辖的一个副县，也是县内人口第二多的城镇。
乌氏	乌氏，是由先秦华夏人群分裂出来的先秦西戎部落一支，在春秋时是西戎八国之一。在今宁夏固原东南胭脂川一带。
赵豫	赵豫，字定素，直隶安肃（今河北徐水）人，是一名明朝政治人物。 燕王朱棣起兵下保定，赵豫以诸生督赋守城。
涵化	涵化（acculturation），是指因多种不同文化相互接触，从而导致的文化变动以及心理变化的过程。
鱼袋	鱼袋是中国、日本、朝鲜、越南一种官员配饰。它始于唐朝，按《宋史·舆服志》：“其制自唐始，盖以为符契也。
铁矾	铁矾（Siderotil）是一种水合硫酸亚铁矿物，化学式为FeSO4·5H2O，由水绿矾风化失水形成。
疑核	疑核（拉丁语：Nucleus ambiguus）是延髓的一个神经核团。其位置在下橄榄核的后方（背侧）。
怪味	怪味是川菜的一种调味方式，因为同时结合了酸、咸、甜、Paresthesia、辣、鲜、香，所以称为怪味。
镖局	镖局，亦写作“标局”，或作镖行，是安全押运公司和保安公司的前身，是第三产业保安和保全服务业、商业组织。
挽联	挽联，又称哀挽联，是哀悼死者所做的对联。一般以歌颂死者或描述死者生平为内容，会于丧礼上悬挂在灵堂两则。
怀古	怀古，是一种旧体诗流派。它是一种诗类型，在诗中诗人回顾过去的时间、地点或人，诗可能由任何一种格律写就。
御路	御路，又被称为龙升或螭陛，原为古代中国宫殿建筑形制，是位于宫殿中轴线上台基与地坪以及两侧阶梯间的坡道。
永观	永观（983年5月29日~985年5月19日）是日本的年号。使用这年号之日本天皇是圆融天皇与花山天皇。
壮六	壮六，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡中部。相较于今日行政区，其范围大致为忠孝村南半部。
上会	上会，亦称「上车」，是以当年互助会的意思而衍生的贷款过程之俗称，在香港泛指车辆贷款及楼宇物业按揭贷款。
义注	义注（巴利语：Attha-katha，意为「解释」，「评论」），是指上座部佛教巴利语南传大藏经的注解。
塔韦	塔韦（Tavey，tavɛ）是法国上索恩省的一个旧市镇，属于吕尔区。2019年，塔韦并入市镇埃里库尔。
苏摩	苏摩（梵语：सोम）是早期印度婆罗门教仪式中饮用的一种饮料，得自于某种至今未知的植物（或真菌）的汁液。
欹髻	欹髻（カタカシラ）是琉球成年男子的一种发型。 琉球士族男子在15岁的时候元服，将头发束起来插簪、戴冠。
铅丹	铅丹（Minium）是四氧化三铅的天然形式，也被称为红丹。铅丹是从浅到鲜红色的，可能有棕到黄色的色调。
顺汇	顺汇，又称汇付、汇款，即是透过银行、钱庄等金融机构协助，将金钱以电子等方式由一处地方移转到别一个地方。
爱诺	爱诺（Aino）是芬兰民族史诗《卡勒瓦拉》中的一个人物。 简介 史诗中叙述道爱诺是尤卡海宁的漂亮妹妹。
火棍	火棍，是一种表演者使用用点火的棍子进行表演，舞者借由手腕技巧与手臂的挥舞来向观众呈现棍子其特有的美感。
麻姑	麻姑是中国古代神话传说中的长寿女神，也是下八洞神仙中的一位得道女仙。然而她又是一位妇孺皆知的传奇人物。
海威	海威（1974年1月20日－1997年4月21日），是一头雌性杀人鲸，身长5.15米，体重202公斤。
龟洞	龟洞，是台湾台南市关庙区的一个传统地域名称，位于该区东南端。相较于今日行政区，其范围大致与龟洞里相近。
筱园	筱园是清代扬州的一座著名园林，位于保障河转折处，廿四桥旁。 筱园本名小园，自宋代以来即以种植芍药闻名。
去腥	去腥是烹饪中常见的一类步骤，目的是让食物中腥味降低，常用在肉类以及海鲜。常用来去腥的材料有料酒和姜片。
中梃	中梃是在窗或幕墙的单元之间形成分隔或装饰的一种垂直结构构件。其主要目的是为相邻的窗户玻璃提供刚性支撑。
鹩哥	鹩哥（学名：Gracula religiosa）是最善于学习人类语言的动物，又称之为又名了哥或九官鸟。
童威	童威，小说《水浒传》中人物，和童猛是兄弟，浔阳江边人，善于驾船伏水，和“混江龙”李俊一起贩卖私盐为生。
慧灌	慧灌（生没年不详），是飞鸟时代从高句丽来日之僧侣，为日本三论宗之祖。 经历 慧灌师事吉藏而学到三论学。
林厝	林厝，是台湾台中市西屯区的一个传统地域名称，位于该区西北部。相较于今日行政区，其范围大致与林厝里相近。
巴讷	巴讷（Banneux，banø）是一个比利时的小镇，它坐落于比利时瓦隆大区列日省，隶属于市镇斯普里蒙。
照村	照村，光绪年间修订的《卢氏县志》称为赵村，是中华人民共和国河南省三门峡市卢氏县横涧乡下辖的一个行政村。
秋石	秋石，又名秋丹石、秋冰、淡秋石，是中国古代以童尿提炼的药品，源自道教炼丹，信徒认为它可作为长生不老药。
薮羚	薮羚（学名Tragelaphus scriptus），又名树羚，是西非及中非一种细小至中等大小的羚羊。
恩赐	恩赐是指君主为了感谢臣下的忠节或功绩，而给予臣下物品之行为。日本所称「恩赐」，一般而言都是指天皇下赐。
阴极	阴极（英文：Cathode）是发生还原反应的电极，相对于阳极为其对立面。 在放电的电池中，阴极为正极。
延锋	延锋是总部位于中华人民共和国上海市的一家汽车饰件公司，前身企业创建于1936年，原来从事模具铸造业务。
胃石	胃石（gastrolith）是在动物胃肠道内的一块岩石。在一些动物中，胃石保留在砂囊里，用于研磨食物。
典史	典史是中国古代官制，设于州县，属于地方官，被称作县令的佐杂官，别称捕厅、右堂、廉捕、少尉、少尹、少府。
豆蟹	豆蟹（Pinnotheres pisum）是豆蟹属的一种小型螃蟹，寄生在牡蛎和其他一些双壳纲生物身上。
香茅	香茅是禾本科香茅属（学名：Cymbopogon）约55种芳香性植物的统称，也叫香麻，为常见的香草之一。
溪顶	溪顶，是台湾云林县台西乡的一个传统地域名称，位于该乡西南部。相较于今日行政区，其范围大致与溪顶村相近。
花眉	花眉，是台湾台中市大雅区的一个传统地域名称，位于该区东北部。相较于今日行政区，其范围大致为西宝里北部。
梭梭	梭梭（学名：Haloxylon ammodendron），亦称“盐木”、“琐琐树”，是苋科梭梭属植物。
七张	七张，是台湾宜兰县宜兰市的一个传统地域名称，位于该市东北部。相较于今日行政区，其范围大致与七张里相近。
节奏	节奏（Rhythm）是一种以一定速度的快慢的节拍，主要是不同长短的音值和音调上的高低把它们组合到一起。
碗赛	碗赛（bowl game），是美国对年度大学橄榄球季后赛的称呼，现在也延伸用于指代其他重要的橄榄球赛。
弘昌	弘昌（402年三月—404年二月，或作宏昌）是十六国时期南凉政权，南凉景王秃发傉檀的年号，共计近2年。
廍下	廍下，是台湾南投县名间乡的一个传统地域名称，位于该乡西北部。相较于今日行政区，其范围大致与廍下村相近。
脐橙	脐橙（Navel orange），俗称抱子橘，是橙（学名：Citrus sinensis）的一种变种。
罗摩	罗摩，也译为拉玛（Rāma），阿逾陀国的王子，是印度古代传说的伟大英雄，为印度教所信奉的重要神祇之一。
竖琴	竖琴，是一种大型拨弦乐器，是现代管弦乐团的重要乐器之一。竖琴可作独奏、重奏和合奏，属多功能的复音乐器。
蛋黄	蛋黄，又称卵黄，是指卵（蛋）内的黄色球状物质，是胚的主要营养来源。与蛋白一样，蛋黄遇热后会凝固成固体。
爱不	爱不是手 为台湾经营品牌肉干店之一，源自在台湾注册商标时，将「爱不释手」写成「爱不是手」，故成为品牌。
哑铃	哑铃，原本是古希腊跳远竞赛中一种为增加反作用力而设的手握器材，发展至今演变成为一种举重及负重训练器材。
十灾	十灾（עשר המכות）是记载于《圣经》〈出埃及记〉的第7到12章中，耶和华降临在古埃及的十个灾祸。
伦巴	伦巴（Rhumba），也被称为爱情之舞，是起源于古巴的拉丁舞，所以又叫古巴伦巴，舞曲节奏为4/4拍 。
啁啾	啁啾（Chirp）是指频率随时间而改变（增加或减少）的信号。其名称来源于这种信号听起来类似鸟鸣的啾声。
金姓	金姓是一个常见姓氏，汉族、朝鲜族、蒙古族中都有大量的金姓人口，满族、回族、京族等其他民族也有金姓存在。
蚝涌	蚝涌是香港新界西贡区一条河涌，也是河岸一带的地名，位于白沙湾以南，大埔仔以北。该地以蚝涌车公庙而著名。
鹿台	鹿台，又名南单台，相传是商朝纣王所建造的宫苑建筑，最早由吕尚监造，台高四丈九尺，“台高插汉，榭耸凌云。
北线	北线（Northern Line）是伦敦地铁的一条路线，大致以南北向贯穿伦敦市区，在地图上以黑色标示。
人脉	人脉（People）是由微软开发的联系人管理应用程序，允许用户组织和链接来自不同电子邮件帐户的联系人。
林猬	林猬（学名：Hemiechinus hughi），也叫侯氏猬，为猬科大耳猬属的动物，是中国的特有物种。
祭杆	祭杆（솟대），或翻神鸟柱，是朝鲜半岛农民来祈求丰收所立的长杆子，上头刻有一只鸟，有些嘴中还会衔着小鱼。
梦里	梦里，是高雄市鸟松区的一个传统地域名称，位于该区北部偏西。相较于今日行政区，其范围大致为梦里里西南部。
夏县	夏县是中国山西省运城市所辖的一个县，位于山西省西南部，东临垣曲县、西接盐湖区、北靠闻喜县、南依平陆县。
独鳌	独鳌，是台湾彰化县永靖乡的一个地名，位于该乡西南部。就行政区而言，范围大致包括独鳌村、敦厚村、仑美村。
曹抗	曹抗是东汉、曹魏时期人物，曹操之孙，曹均之子。 生平 219年，父亲曹均去世，曹抗继承父亲樊侯的爵位。
病句	病句，语病，文字病（Grammar mistake），是指不遵守语法规则的句子，或者是逻辑上矛盾的句子。
西厂	西厂，全称西缉事厂，是明朝厂卫之一以及一个特务机构，直接听命于皇帝。它设立于1477年，1482年废止。
轧筝	轧筝，南方又称作轧琴，是中国传统弦乐器。其历史悠久，据《旧唐书·音乐志》载：“轧筝，以竹片润其端而轧之。
立夏	立夏，是二十四节气之一，标志著夏天的到来，一般约在每年的5月5-21日之间，斗指巽，太阳位于黄经45°。
隆德	隆德（Lund）是瑞典南部斯科讷省隆德市镇的城区。城市大约建立于990年左右，当时斯科讷地区归丹麦管辖。
蹦床	蹦床是体操项目的支流之一，是奥运会的一个小项目，现时世界上蹦床最强的国家包括中国、俄罗斯、乌克兰与日本。
豹蛙	豹蛙（Rana pipiens），又名斑绿蛙、北美豹蛙、美洲豹蛙或草蛙，是原住于加拿大及美国的一种青蛙。
御桥	御桥是中华人民共和国上海市浦东新区北蔡镇的一个地名。该地名来自明朝万历三年（1575年）建的石桥御界桥。
祀宴	祀宴是台湾民间信仰中的祭祀仪式，与神明的诞辰、法会与醮典等活动息息相关，祭祀仪式当中祭品为不可或缺之物。
简文	简文是一名香港商绅，于香港教育界、商界、建筑界各有发展。香港重光后，曾参与军事法庭顶证在港日军战争罪行。
桓国	桓国是朝鲜半岛的传说中，有关檀君神话里所提及的一个神话传说国度。实际上并没有考古证据证明这个国家的存在。
胆囊	胆囊，是位于右方肋骨下肝脏后方的梨形囊袋构造，有浓缩和储存胆汁之用。 结构 胆囊是一个有弹性的梨形囊袋。
背景	背景是图像或景象的组成部分，是衬托主体事物（前景）的景物，对事态的起始、发展、变化起重要作用的客观情况。
康安	康安（1361年5月4日至1362年10月11日）是日本北朝的年号之一。这个时代的北朝天皇是后光严天皇。
纺车	纺车是用于从纤维材料如毛、棉、麻、丝中生产线或纱的设备。传统纺车通常有一个用手或脚驱动的轮子和一个纱锭。
杨颜	杨颜（2月18日）是一位中国企业家，现时为魅族科技高级副总裁，2011年起开始研发Flyme OS系统。
谷粉	谷粉（flour）是由生的谷物或是Root vegetable研磨而成的粉末，可用来制作许多不同的食物。
鼓词	鼓词是一种曲艺，发源于明朝，流行于北方，用鼓和三弦等乐器说唱。 起源 贾凫西说鼓词即鼓书，是大鼓的意思。
光始	光始（401年八月-406年十二月）是十六国时期后燕君主慕容熙的年号，共计6年1，也是后燕的第九个年号。
藩侯	藩侯（Markgraf），另译边境伯、边境伯爵，是神圣罗马帝国爵位的一种。藩侯的历史可追溯到查理曼时期。
唛号	唛号，是指普洱茶常用的一种商品标记和茶叶配方。词源于英文Mark的译音，市场也称为“茶号”或是“卖号”。
交割	交割，指期货到期后（或是证券成交后），买卖双方依约相互交付货物（凭证）及货款。至此，方完成所有交易行为。
薄盘	薄盘是某些星系的构成元件之一。银河系的薄盘被认为在垂直于轴的方向上延伸至，而且85%的恒星在这个盘面上。
屈索	屈索（Cuiseaux，kɥizo）是法国勃艮第-弗朗什-孔泰大区索恩-卢瓦尔省的一个市镇，属于卢昂区。
黑鹳	黑鹳（学名：Ciconia nigra）是鹳形目鹳科鹳属的一种大型涉禽，又名黑老鹳、乌鹳、锅鹳、捞鱼鹳。
蛇号	蛇号（Serpent）是一种古代乐器，属于低音域乐器。名称取其外形弯弯曲曲有如一条蠕动中的蛇一样而命名。
灰狐	灰狐（学名：Urocyon cinereoargenteus），是狐狸的一种，英文名为Gray fox。
窝头	窝头，也称窝窝头，是在中国北方由玉米粉或杂粮面所制成的一种馒头。窝头空心锥形状，以前为穷人吃的便宜食物。
永克	永克（Yoncq，jɔ̃k）是法国阿登省的一个市镇，属于色当区。该地是第一次世界大战期间边境战役的战场。
杨炼	杨炼，是一位中国诗人，朦胧诗的代表人物之一，“尤利西斯奖”评委。 简介 杨炼祖籍山东，出生于瑞士伯尔尼。
龟板	龟板是龟鳖目动物的腹，甲龟科动物乌龟的甲壳（主要为腹甲），又称龟甲。龟板是中药材一种，龟苓膏的主要材料。
耶拿	耶拿（Jena）是德国中部萨勒河畔的城市，人口约十万余，是德国图林根州仅次于州首府埃尔福特的第二大城市。
摆塘	摆塘，是台湾彰化县大村乡的一个传统地域名称，位于该乡中部偏南。相较于今日行政区，其范围大致与摆塘村相近。
三线	三线是琉球群岛特有的拨弦乐器，由琴头、琴颈、琴身三部分构成，因琴身两面蒙有蛇皮，也被称为蛇皮线或蛇味线。
内立	内立，是台湾新竹县新埔镇的一个传统地域名称，位于该镇东南部。相较于今日行政区，其范围大致为内立里西半部。
邓析	邓析，春秋时代末年郑国思想家，是名家的重要人物。 生平 邓析是子产的部下，子产在郑国执政时，邓析是大夫。
抵美	抵美，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡西北部。相较于今日行政区，其范围大致为美城村西北部。
侠岚	侠岚（英文：Shalen，原名：神之伽蓝传）是一部中国大陆三维武侠动画，由北京若森数字科技有限公司出品。
反波	反波是一个创办于2005年，2009年停播的中文播客，主持者为平客和飞猪。创办后4个月点击率突破30万。
移情	移情是精神分析学的重要概念之一，最早由佛洛依德提出。移情是指患者的欲望转移到分析师身上而得到目的的过程。
罗世	罗世（나세，1397年），高丽末期及朝鲜王朝初期的将领，他是元朝的汉人，后移居高丽，成为高丽的一位军人。
声子	声子（Phonon）是晶体中晶体结构集体激发的准粒子，化学势为零，服从玻色-爱因斯坦统计，是一种玻色子。
琵琶	琵琶，是东亚传统弹拨乐器，在中国已经有2000多年的历史，最早被称为「琵琶」的乐器大约在秦朝时期出现的。
郭盛	郭盛是《水浒传》人物，四川嘉陵人氏，善使方天戟，外号「赛仁贵」。在梁山泊与小温侯吕方共任宋江的马军护卫。
林头	林头，是台湾嘉义县大林镇的一个传统地域名称，位于该镇东北部。相较于今日行政区，其范围大致为三角里东南部。
瑶姬	瑶姬是中国古代神话中登场的女神。因历史的变迁，固然有多种关于瑶姬的神话传说，其中都把她称为“巫山神女”。
龙鱼	龙鱼（りゅうぎょ）是日本的未确认生物 (UMA) 、幻兽。在明治时代的报纸等可见相关记录，多被视为吉兆。
云海	云海是指在云雾大片聚集的情况下，由上而下俯视，此时云雾顶部起伏流动的样子宛如大海一般，因而称为「云海」。
肥害	肥害是由于肥料配制不当，加入过量氮肥或腐熟不充分的有机肥，或根外追肥浓度过高而引起的，使土壤产生盐渍化。
高鸟	高鸟（Bathornis），是一个与现代叫鹤相关的已灭绝属，生活在约3700万至约2000万年前的北美。
痛苦	痛苦（suffering）是构成情感现象负面效价（Valence）的基本要素。痛苦的反面是快乐或幸福等。
蒲谷	蒲谷是中国广东省广州市的一个景区，位于白云区白云山景区南边，于云台花园门口进入走1.2公里路程即可到达。
测井	测井是通过钻井眼对地层进行详细记录。包括把样品带到地上直接观察，也包括把放到井眼里的仪器进行的物理测量。
默哀	默哀，或称默祷，是指团体或个人为表示哀悼或吊唁，在一段时间内低头静立，视为一种礼仪，而非属任何宗教仪式。
师徒	师徒是指师父与徒弟的关系；师父也作师傅是前辈，是学问、武功、技术、工艺的传授者；而徒弟亦作学生，是晚辈。
厘摩	厘摩（centimorgan，简写为cM），或称为图距单位（map unit），是遗传连锁中的距离单位。
天璇	天璇（β UMa / 大熊座β）是位于大熊座的一颗恒星，亮度2.4等，距离地球79光年，为北斗七星之一。
神乐	神乐（かぐら）是日本神道神事之时，奉纳神的歌舞。 概要 神乐主要出现在神社的祭礼，日本佛教寺院鲜少举行。
九湖	九湖，是台湾苗栗县铜锣乡的一个传统地域名称，位于该乡西部偏南。相较于今日行政区，其范围大致与九湖村相近。
泷山	泷山（Takiyama，即生于文化二年，卒于明治九年），是铁炮百人组．大冈权左卫门的女儿，原名大冈多喜。
丁悦	丁悦（Tiffany Ting；12月17日），香港女歌手，2014年出道作品是翻唱李蕙敏的《好结果》。
黑化	黑化（Melanism）是深颜色的黑色素在皮肤（或皮肤附属物，如毛发）当中逐步建立的过程，与白化症相反。
北窝	北窝，是台湾新竹县湖口乡的一个传统地域名称，位于该区东部。相较于今日行政区，其范围大致为长安村南大半部。
冲宫	冲宫是日本冲绳县那霸市的一个神社，位于奥武山公园东部。冲宫是琉球八社之一，在日本近代社格制度中为无格社。
鬼母	鬼母是住在南海的小虞山鬼怪和鬼神，又叫鬼姑神、虎龙足、蟒目(蟒蛇目圆)、蛟眉(蛟眉连生),形状奇伟古怪。
葛荃	葛荃，是一位中国政治学者。主要研究方向为中国政治思想与政治文化，中国行政管理思想史，行政文化与行政道德。
泊寓	泊寓是一个互联网长租公寓运营商，泊寓公寓于2016年正式成立，前身为被窝公寓，是万科旗下的长租公寓品牌。
螺旋	螺旋是一种像螺线及螺丝的扭纹曲线，为一种在生物学上常见的形状，例如在DNA及多种蛋白质均可发现这种结构。
吉什	吉什（Guiche，ɡiʃ；Gixune；Guishe）是法国大西洋比利牛斯省的一个市镇，属于巴约讷区。
夜剧	夜剧（よるドラ）是NHK综合频道自2018年4月7日开始在每周六23时30分至23时59分播出的电视剧。
欧迪	欧迪（Odie）是吉姆·戴维斯的漫画《加菲猫》中的卡通狗。牠也出现在了三部以加菲猫为主题的卡通电影当中。
飞沫	飞沫是指在口腔或鼻腔等地方出现的含水颗粒或小水滴、小液滴，它由唾液或粘液和来自呼吸道表面的其他物质组成。
日名	日名是中国先秦时期君主以及贵族和平民曾采用过的一种命名方式，以“天干”作为结尾，在死后则成为他们的庙号。
桑吉	桑吉是位于印度中央邦博帕尔的一个村庄，英国考古学家亚历山大·卡宁厄姆自19世纪始，依照玄奘的描述而找到。
员笨	员笨，是台湾桃园市杨梅区的一个传统地域名称，位于该区西北部。相较于今日行政区，其范围大致为员本里北半部。
姬鸮	姬鸮（学名Micrathene whitneyi），又名娇鸺鹠，是分布在墨西哥及美国西南部的一种猫头鹰。
昆腾	昆腾（Quantum Corporation）是美国一家数据储存设备及系统制造公司，总部位于加州圣荷西。
悬浮	悬浮（Levitation）是指一个物体不经由物理接触产生的机械支撑而在一定高度能够保持位置稳定的状态。
贾琏	贾琏，《红楼梦》中人物，是荣国府大老爷贾赦的长子，荣国府的下任袭爵者，贾迎春、贾琮的异母哥哥，生母不详。
南子	南子（？－前480年）是宋国人，春秋时卫灵公的夫人，后为卫后庄公兵变杀死。 生平 南子据说是宋平公之女。
青鳉	青鳉（学名：Oryzias latipes），又称米鳉，俗称稻田鱼、鱼目娘、米鳉、弹鱼，是青鳉属的一种。
秦人	秦人，先秦人群，传说是颛顼的后代，居住在今中国陕西一带，其建立的秦国是周朝封的诸侯国之一，领导者为嬴姓。
酞菁	酞菁（Phthalocyanine），是一类大环化合物，环内有一个空腔，直径约2.7 × 10−10m。
功劳	功劳，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡西部偏北。相较于今日行政区，其范围大致与功劳村相近。
解剖	解剖是指将人或动物、植物的身体切割开，以观察其内部的器官和组织。在病理学及法医学都会透过验尸来确认死因。
虞国	虞国，是中国历史上西周、春秋时期的姬姓诸侯国。 位置 位置大体在山西省晋南，具体在山西省平陆、夏县一带。
红楠	红楠（学名：Machilus thunbergii）是樟科桢楠属常绿大乔木，别名猪脚楠、鼻涕楠、臭屎楠。
坡心	坡心，原称为大埔心庄，是台湾彰化县埔心乡的一个传统地域名称，也是全乡行政中心所在地，位于该乡中部及北部。
紫姑	紫姑，又称厕姑、戚姑、茅姑、坑姑、坑三姑娘等，是汉族民间信仰的厕神。 传说 相传厕姑为西汉初年的戚夫人。
谭耕	谭耕（12月），加拿大政治人物，自由党籍，是加拿大国会下议院Don Valley North的国会议员。
